Alien,Black Diamond 16,190
Alpha,Gut 2000 16,159
Ashaway,Dynamite 17,127
Ashaway,Dynamite Soft 17,120
Ashaway,Dynamite Soft 18,108
Ashaway,Dynamite WB 16,125
Ashaway,Liberty 16,167
Ashaway,MonoGut 16L,203
Ashaway,MonoGut 17,189
Ashaway,MonoGut ZX 16,106
Ashaway,Synthetic Gut 16,167
Babolat,Addiction 16,167
Babolat,Addiction 17,154
Babolat,Attraction 16,158
Babolat,Ballistic Polymono 16,218
Babolat,Conquest 16,175
Babolat,Duralast 16,207
Babolat,Duralast 17,219
Babolat,FiberTour 16,163
Babolat,Hurricane Feel 16,250
Babolat,Hurricane Feel 17,239
Babolat,M7 16 (1.30),161
Babolat,Origin 16 (1.30),167
Babolat,Origin 17,171
Babolat,Pro Hurricane 16,204
Babolat,Pro Hurricane 17,193
Babolat,Pro Hurricane 18,185
Babolat,Pro Hurricane Tour 16,227
Babolat,Pro Hurricane Tour 17,215
Babolat,Revenge 16,276
Babolat,Revenge 17,222
Babolat,RPM Blast 15L (1.35),237
Babolat,RPM Blast 16,233
Babolat,RPM Blast 17/1.25,234
Babolat,RPM Blast 18 (1.20),189
Babolat,RPM Blast Rough 15L,199
Babolat,RPM Blast Rough 16,210
Babolat,RPM Blast Rough 17,196
Babolat,RPM Dual 16,237
Babolat,RPM Team 16 Black,281
Babolat,RPM Team 17 (1.25),245
Babolat,SG SpiralTek 16,162
Babolat,SpiralTek 17,149
Babolat,Super Fine Play 16,191
Babolat,Synthetic Gut 16 (1.30),169
Babolat,Synthetic Gut 17 (1.25),162
Babolat,Tonic + Natural Gut 16,99
Babolat,VS Natural Team Gut 17 (1.25),92
Babolat,VS Natural ThermoGut 16 Touch,96
Babolat,VS Touch 15L (1.35),89
Babolat,Xcel 16,151
Babolat,Xcel French Open Black 16,145
Babolat,Xcel Power 16,162
Babolat,Xcel Power 17,146
Babolat,Xcel Premium 17,148
Boris Becker,Bomber 16,205
Boris Becker,Bomber 17,182
Boris Becker,Bomber NYC 16 (1.28),208
Boris Becker,Bomber NYC 17 (1.23),206
Boris Becker,Pulse 16 (1.32),144
Diadem,Elite XT 16,205
Diadem,Elite XT 17,189
Diadem,Impulse 16 (1.32),150
Diadem,Impulse 17 (1.25),142
Diadem,Solstice Power 15L (1.35),229
Diadem,Solstice Power 16 (1.30),203
Diadem,Solstice Power 16L (1.25),209
Diadem,Solstice Power 17 (1.20),197
Diadem,Solstice Pro 15L (1.35),193
Diadem,Solstice Pro 16L (1.25),190
Diadem,Solstice Pro 16L (1.25),179
Double AR,666 (1.30),162
Double AR,Diablo (1.24),167
Double AR,Diablo (1.31),170
Double AR,Raptor 1.27,238
Double AR,Twice Dragon(1.30),171
Double AR,Twice Shark (1.25),143
Double AR,WTS 25 (1.25),168
Dunlop,Black Widow 16,193
Dunlop,Black Widow 17,217
Dunlop,Black Widow 18 (1.21),195
Dunlop,Comfort Poly 17,237
Dunlop,Comfort Synthetic 16,177
Dunlop,Comfort Synthetic 17,184
Dunlop,DNA 16 (1.30),147
Dunlop,DNA 17 (1.22),145
Dunlop,Explosive 16,233
Dunlop,Explosive 17 (1.26),192
Dunlop,Explosive 18 (1.20),194
Dunlop,Explosive Poly Max 16,158
Dunlop,Explosive Synthetic 16,179
Dunlop,Explosive Synthetic Gut 17,175
Dunlop,Hexy Fiber 16,142
Dunlop,Hexy Fiber 17,144
Dunlop,Ice 16 (1.30),205
Dunlop,Ice 17 (1.25),193
Dunlop,Juice 16 (1.31),215
Dunlop,Juice 17 (1.26),209
Dunlop,M-Fil Tour 16,159
Dunlop,Pearl 16 (1.30),138
Dunlop,Pearl 17 (1.25),145
Dunlop,S-Gut 16 (1.32),158
Dunlop,S-Gut 17,163
Dunlop,S-Gut 18 (1.19),156
Dunlop,Silk 16 (1.30),147
Dunlop,Silk 17,131
Dunlop,Synthetic Gut 16,173
Dunlop,Tour Performance 16,160
Dunlop,X-Life Synthetic 15L,177
Forten,Sweet 16,189
Gamma,Asterisk 16,157
Gamma,Asterisk Spin 16,150
Gamma,Asterisk Tour 16,162
Gamma,ESP 16,158
Gamma,FXT 16 (1.30),157
Gamma,FXT 17 (1.24),154
Gamma,Glide Cross String 16,133
Gamma,IO 17 (1.23),198
Gamma,IO 18 (1.18),189
Gamma,IO Soft 15L (1.40),219
Gamma,IO Soft 16 (1.28),200
Gamma,IO Soft 17 (1.23),193
Gamma,Jet 16L (1.28),198
Gamma,Live Wire 16,159
Gamma,Live Wire 17 (1.27),147
Gamma,Live Wire XP 16,157
Gamma,Live Wire XP 17 (1.27),150
Gamma,Marathon DPC 15 (1.40),180
Gamma,Marathon DPC 16 (1.32),171
Gamma,Monoblast 16,221
Gamma,Moto 16,227
Gamma,Moto 17 (1.24),202
Gamma,Moto Soft 16 (1.29),200
Gamma,Moto Soft 17 (1.24),184
Gamma,Ocho 16 (1.30),243
Gamma,Ocho 17 (1.25),231
Gamma,Ocho TNT 16 (1.30),187
Gamma,Ocho TNT 17 (1.25),186
Gamma,Ocho XP 16 (1.32),149
Gamma,Ocho XP 17 (1.27),147
Gamma,Poly Z 16,179
Gamma,Prodigy 16,165
Gamma,Professional 16,150
Gamma,Professional 17,145
Gamma,Professional 18 (1.22),124
Gamma,Professional Spin 16,165
Gamma,Revelation 16,162
Gamma,Revelation 17 (1.27),146
Gamma,RZR Rx 16,196
Gamma,RZR Rx 17,185
Gamma,Solace 16 (1.32),147
Gamma,Solace 17 (1.27),148
Gamma,Synthetic Gut 16,186
Gamma,Synthetic Gut 17 (1.25),161
Gamma,Synthetic Gut 17 W/wearguard (1.22),161
Gamma,Synthetic Gut 18 (1.18),165
Gamma,Synthtic Gut 15L W/wearguard (1.38),167
Gamma,TNT2 15L (1.40),181
Gamma,TNT2 16,171
Gamma,TNT2 17 (1.27),158
Gamma,TNT2 18 (1.17),166
Gamma,TNT2 Pro Plus 16,158
Gamma,TNT2 Pro Plus 17L (1.24),149
Gamma,TNT2 Rx 16,173
Gamma,TNT2 Rx 17 (1.25),148
Gamma,TNT2 Touch 16,154
Gamma,TNT2 Touch 17 (1.27),132
Gamma,TNT2 Tour 16 (1.32),157
Gamma,TNT2 Tour 17 (1.27),155
Gamma,WearGuard Synthetic Gut 16,165
Gamma,Zo Black Ice 17 (1.23),211
Gamma,Zo Black Ice 18 (1.18),199
Gamma,Zo Dart 17 (1.25),207
Gamma,Zo Ice 16,223
Gamma,Zo Magic 16,248
Gamma,Zo Power 16L,193
Gamma,Zo Tour 16,215
Gamma,Zo Tour 17 (1.25),204
Gamma,Zo Tour Rough 16,187
Gamma,Zo Twist 16,190
Gamma,Zo Verve 16 (1.32),229
Gamma,Zo Verve 17,231
Genesis,Black Magic 16 (1.29),207
Gosen,A.K. Control 16,157
Gosen,AK Control 17 (1.24),149
Gosen,AK Pro 16,174
Gosen,AK Pro 17,162
Gosen,AK Pro CX 16 (1.30),158
Gosen,AK Pro CX 17 (1.24),157
Gosen,AK Pro Spin 15L (1.38),169
Gosen,Compositemaster I 16,165
Gosen,Compositemaster II 16,151
Gosen,G-Tour 16 (1.30),184
Gosen,Lumina Spin 16L (1.26),178
Gosen,Multi CX 16 (1.30),155
Gosen,Multi CX 17 (1.24),150
Gosen,Nanoblend 17,132
Gosen,Nanocubic 16,183
Gosen,Nanosilver 17,157
Gosen,OG Sheep Micro 17,163
Gosen,OG Sheep Micro 18,159
Gosen,OG Sheep Micro Super 16L,164
Gosen,OG-Sheep Micro 16,183
Gosen,Poly Professional 16 (1.29),186
Gosen,Poly Professional 17 (1.24),169
Gosen,Polylon 16,207
Gosen,Polylon 17 (1.24),208
Gosen,Polylon Comfort 16,189
Gosen,Polylon PolyBreak 17 (1.24),195
Gosen,Polylon PolyBreak 18 (1.20),165
Gosen,Polylon Premium 16 (1.32),218
Gosen,Polylon Premium 16L (1.27),201
Gosen,Polylon SP 16 (1.30),185
Gosen,Polylon SP 17 (1.24),175
Gosen,Polymaster I 16,187
Gosen,Polymaster II 16,172
Gosen,Powermaster I 16,163
Gosen,Powermaster II 16,158
Gosen,Sidewinder 16 (1.31),163
Gosen,Sidewinder 17,159
Gosen,Tecflex 16 (1.30),151
Gosen,TecGut Remplir 16,151
Head,ETS 16,156
Head,ETS 17,152
Head,Fibergel Power 16,153
Head,Fibergel Power 17,161
Head,Fibergel Spin 16,169
Head,FXP 16,165
Head,FXP 17,173
Head,FXP Power 16,194
Head,FXP Power 17,163
Head,FXP Tour 16,117
Head,Hawk 16 (1.30),230
Head,Hawk 17 (1.25),205
Head,Hawk 18 (1.20),194
Head,Hawk Rough 17,201
Head,Hawk Touch 18 (1.20),196
Head,Hawk Touch 19 (1.15),192
Head,Lynx 16 (1.30),186
Head,Lynx 17 (1.25),179
Head,Lynx 18 (1.20),175
Head,PerfectControl 16,151
Head,Reflex MLT 16 (1.30),159
Head,Reflex MLT 17 (1.25),141
Head,RIP Control 16,157
Head,Rip Control 17 (1.25),138
Head,RIP PerfectPower 16,157
Head,Sonic Pro 16,161
Head,Sonic Pro 17,165
Head,Sonic Pro Edge 16,195
Head,Synthetic Gut 16,177
Head,Synthetic Gut PPS 16,170
Head,Synthetic Gut PPS 17 (1.25),151
Head,Ultra Tour 16,202
Head,Ultratour 17,207
Head,Velocity MLT 17 (1.25),153
IsoSpeed,Axon Mono 16L,199
IsoSpeed,Axon Multi 16L,126
IsoSpeed,Black Fire 17,205
IsoSpeed,Control 16,150
IsoSpeed,Control Classic 16,136
IsoSpeed,Cream 17 (1.28),178
IsoSpeed,Energetic 17,157
IsoSpeed,Energetic Plus 16,155
IsoSpeed,Professional Classic 17,134
IsoSpeed,Pulse 16,165
IsoSpeed,Pulse 17,159
IsoSpeed,Pyramid 16,175
IsoSpeed,V18 19 (1.12),180
Kirschbaum,Black Shark 16 (1.30),223
Kirschbaum,Black Shark 17 (1.25),217
Kirschbaum,Competition 16/1.30,210
Kirschbaum,Competition 17 (1.25),210
Kirschbaum,Competition 17L (1.20),190
Kirschbaum,Helix 16,205
Kirschbaum,Helix 17,209
Kirschbaum,Long Life 15,231
Kirschbaum,Max Power 16 (1.30),233
Kirschbaum,Max Power 17 (1.25),241
Kirschbaum,Max Power 18 (1.20),226
Kirschbaum,Max Power Rough 16 (1.30),231
Kirschbaum,Max Power Rough 17 (1.25),223
Kirschbaum,Max Power Rough 18 (1.20),195
Kirschbaum,P2 16/1.30,219
Kirschbaum,P2 17 (1.25),235
Kirschbaum,P2 17L (1.20),197
Kirschbaum,Pro Line Evolution 17 (1.25),208
Kirschbaum,Pro Line I 1.30,225
Kirschbaum,Pro Line I 17 (1.25),205
Kirschbaum,Pro Line I 17L (1.20),195
Kirschbaum,Pro Line I 18L (1.15),189
Kirschbaum,Pro Line II 1.30,210
Kirschbaum,Pro Line II 17 (1.25),201
Kirschbaum,Pro Line II 17L (1.20),193
Kirschbaum,Pro Line II 18 (1.15),183
Kirschbaum,Pro Line X 16 (1.30),240
Kirschbaum,Pro Line X 17 (1.25),218
Kirschbaum,Spiky Shark 16,216
Kirschbaum,Spiky Shark 17,198
Kirschbaum,Super Smash 16/1.30,222
Kirschbaum,Super Smash 17 (1.25),211
Kirschbaum,Super Smash Spiky 1.20,205
Kirschbaum,Super Smash Spiky 16/1.30,217
Kirschbaum,Super Smash Spiky 17 (1.25),214
Kirschbaum,Touch Multifibre 16,162
Kirschbaum,Touch Multifibre 17 (1.25),166
Kirschbaum,Touch Turbo 1.30,218
Kirschbaum,Touch Turbo 16L (1.275),196
Kirschbaum,Touch Turbo 17 (1.25),203
Kirschbaum,Xplosive Speed 1.25,186
Kirschbaum,Xplosive Speed 1.30,193
Klip,Armour Pro 16/1.30,109
Klip,Excellerator 16/1.30,161
Klip,Hardcore 16/1.30,193
Klip,K-Boom 16/1.30,237
Klip,K-Boom 18 (1.20),190
Klip,Kicker 16,179
Klip,Legend 16 Uncoated,101
Klip,Legend 17 (1.25),90
Klip,Scorcher 16/1.30,167
Klip,Scorcher 17 (1.27),159
Klip,Synthetic Gut 16,166
Klip,Venom 16/1.30,163
L-Tec,Premium 3S 16L (1.25),220
L-Tec,Premium 4S 16L (1.25),234
L-Tec,Premium 5S 16L (1.25),210
L-Tec,Premium OS 17 (1.23),224
L-Tec,Premium Pro OS 16L,254
LaserFibre,1200 16 (1.30),138
LaserFibre,JB Tour 100 17g (1.25),211
LaserFibre,Native Tour 17 (1.25),200
LaserFibre,Supernatural Gut Pro Stock 16,162
LaserFibre,Supreme 2.0 16 (1.30),146
LaserFibre,Supreme 2.0 17 (1.25),143
LaserFibre,Vorso 16 (1.28),181
LaserFibre,Vorso 17 (1.23),178
Leopard,Plus Control 16,226
Luxilon,4G 16 (1.30),287
Luxilon,4G 16L (1.25),259
Luxilon,4G Rough 16L,216
Luxilon,4G S 15,314
Luxilon,4G Soft 1.25,217
Luxilon,Adrenaline 16,213
Luxilon,Adrenaline 16L/1.25,203
Luxilon,Adrenaline 17/1.20,208
Luxilon,Adrenaline Rough 16L/1.25,203
Luxilon,ALU Power 125/16L,209
Luxilon,ALU Power Feel 18/1.20,187
Luxilon,ALU Power Rough 16L (1.25),209
Luxilon,Alu Power Soft 1.25,198
Luxilon,Big Banger Ace 18 (1.12),203
Luxilon,Big Banger ALU Power Fluoro 17,207
Luxilon,Big Banger ALU Power Spin 127/16,214
Luxilon,Big Banger Original 130/16,213
Luxilon,Big Banger Rough 130/16,213
Luxilon,Big Banger Timo 17 (1.22),207
Luxilon,Big Banger TiMO 17L (1.17),204
Luxilon,Big Banger Timo 18 (1.10),189
Luxilon,Big Banger XP 125/16L,209
Luxilon,Big Banger XP 15L (1.38),237
Luxilon,Element 1.30,191
Luxilon,Element 16L (1.25),208
Luxilon,Element Rough 16 (1.30),198
Luxilon,LXN Smart 16 (1.30),209
Luxilon,LXN Smart 16L (1.25),201
Luxilon,M2 Plus 130/16,203
Luxilon,M2 Pro 125/16,182
Luxilon,Monotec Super Poly 1.25/16L,233
Luxilon,Monotec Supersense 16L/1.25,210
Luxilon,Monotec Zolo 125/16,213
Luxilon,Monotec Zolo 15L,219
Luxilon,Natural Gut 1.25,82
Luxilon,Savage 16/1.27,234
Mantis,Comfort Poly 16,225
Mantis,Comfort Synthetic 16,149
Mantis,Power Poly 17,203
